slug,origin_iata,destination_iata,origin_city,destination_city,distance_km,airline_count,avg_duration_min,has_stopdist,price_sample_count,itinerary_count,last_health_check_at,bucket
ams-auh,AMS,AUH,Amsterdam,Abu Dhabi,5191,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
arn-hel,ARN,HEL,Stockholm,Helsinki,398,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
arn-lgw,ARN,LGW,Stockholm,London,1475,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
arn-osl,ARN,OSL,Stockholm,Oslo,385,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ath-auh,ATH,AUH,Athens,Abu Dhabi,3263,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ath-bru,ATH,BRU,Athens,Brussels,2102,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ath-ord,ATH,ORD,Athens,Chicago,8771,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
auh-fco,AUH,FCO,Abu Dhabi,Rome,4339,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
auh-waw,AUH,WAW,Abu Dhabi,Warsaw,4190,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
bcn-man,BCN,MAN,Barcelona,Manchester,1380,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
bcn-mct,BCN,MCT,Barcelona,Muscat,5523,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ber-bru,BER,BRU,Berlin,Brussels,643,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ber-mct,BER,MCT,Berlin,Muscat,4939,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
ber-mxp,BER,MXP,Berlin,Milan,825,0,,False,0,0,,B-recoverable (never health-checked / never backfilled)
bru-fco,BRU,FCO,Brussels,Rome,1173,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
bru-muc,BRU,MUC,Brussels,Munich,597,,,False,0,0,,B-recoverable (never health-checked / never backfilled)
